Value of v is: (0.367, 0.254)
(1.2190071, 0.17669733)
(1.2226423, 0.1798514)
(1.2222315, 0.1829739)
(1.2333614, 0.18102689)
(1.2329506, 0.1841494)
(1.2365857, 0.18730347)
(1.236175, 0.19042598)
(1.2546083, 0.16952504)
(1.2541975, 0.17264755)
(1.2578326, 0.17580162)
(1.2574219, 0.17892413)
(1.2685517, 0.17697711)
(1.2681409, 0.18009962)
(1.2717761, 0.18325369)
(1.2713653, 0.1863762)
(1.2790862, 0.12124374)
(1.2786754, 0.124366246)
(1.2823106, 0.12752031)
(1.2818998, 0.13064282)
(1.2930297, 0.1286958)
(1.2926189, 0.13181831)
(1.296254, 0.13497238)
(1.2958432, 0.13809489)
(1.3142766, 0.11719395)
(1.3138658, 0.12031646)
(1.317501, 0.123470515)
(1.3170902, 0.12659302)
(1.32822, 0.12464602)
(1.3278092, 0.12776853)
(1.3314444, 0.1309226)
(1.3310336, 0.13404511)
(1.2626203, 0.0010828918)
(1.2622095, 0.0042053983)
(1.2658447, 0.0073594563)
(1.2654339, 0.010481963)
(1.2765638, 0.008534975)
(1.276153, 0.011657482)
(1.2797881, 0.014811539)
(1.2793773, 0.017934045)
(1.2978107, -0.0029668808)
(1.2973999, 1.556254E-4)
(1.301035, 0.003309684)
(1.3006243, 0.0064321905)
(1.3117541, 0.004485203)
(1.3113433, 0.0076077096)
(1.3149785, 0.010761768)
(1.3145677, 0.013884274)
(1.3222886, -0.051248208)
(1.3218778, -0.0481257)
(1.325513, -0.044971645)
(1.3251022, -0.041849136)
(1.3362321, -0.043796122)
(1.3358213, -0.040673614)
(1.3394564, -0.03751956)
(1.3390456, -0.03439705)
(1.357479, -0.05529798)
(1.3570682, -0.05217547)
(1.3607033, -0.049021415)
(1.3602926, -0.045898907)
(1.3714224, -0.047845893)
(1.3710116, -0.044723384)
(1.3746468, -0.04156933)
(1.374236, -0.03844682)
(0.6257639, 0.03844682)
(0.625353, 0.04156933)
(0.6289884, 0.044723384)
(0.6285775, 0.047845893)
(0.63970745, 0.045898907)
(0.63929653, 0.049021415)
(0.64293194, 0.05217547)
(0.642521, 0.05529798)
(0.66095424, 0.03439705)
(0.6605433, 0.03751956)
(0.6641787, 0.040673614)
(0.6637678, 0.043796122)
(0.6748978, 0.041849136)
(0.6744869, 0.044971645)
(0.6781223, 0.0481257)
(0.67771137, 0.051248208)
(0.6854322, -0.013884274)
(0.6850213, -0.010761768)
(0.6886567, -0.0076077096)
(0.6882458, -0.004485203)
(0.69937575, -0.0064321905)
(0.69896483, -0.003309684)
(0.70260024, -1.556254E-4)
(0.7021893, 0.0029668808)
(0.72062254, -0.017934045)
(0.7202116, -0.014811539)
